-- SHOP

sid;nazwa;kierownik
1;pierwszy;Agnieszka
2;drugi;Zuza
3;trzeci;Paula
4;ostatni;Janusz
-- PRODUKT
nazwa;id;cena
yams;7;22.14
blueberries;102;15.54
mint;83;7.96
tomato juice;10;22.04
protein bar;47;10.53
escalope;63;26.43
burger sauce;116;19.96
meatballs;22;16.55
 asparagus;118;21.30
black tea;45;5.68
whole wheat rice;28;22.28
french fries;30;11.19
pancakes;56;0.89
strong cheese;68;9.39
ground beef;62;25.11
pickles;69;19.62
tea;88;15.21
zucchini;91;17.58
burgers;21;28.41
green grapes;5;19.79
green beans;113;8.33
cream;119;28.98
herb & pepper;64;20.95
cottage cheese;8;19.53
cooking oil;38;8.09
rice;52;12.20
oatmeal;117;23.02
whole weat flour;6;25.95
soup;31;28.95
fresh tuna;43;20.17
cider;80;7.86
antioxydant juice;17;4.92
muffins;76;6.30
olive oil;20;18.50
bug spray;75;2.04
whole wheat pasta;29;15.13
magazines;66;14.65
yogurt cake;82;7.18
cereals;73;13.16
hot dogs;71;2.20
cauliflower;112;0.31
shampoo;51;6.64
spaghetti;35;16.77
white wine;58;26.60
soda;79;22.42
chocolate bread;99;24.63
dessert wine;106;18.58
light mayo;77;11.90
champagne;39;2.23
salad;14;26.92
mint green tea;100;3.77
energy drink;9;17.48
chutney;24;0.87
parmesan cheese;60;24.75
eggplant;101;3.77
carrots;92;19.48
extra dark chocolate;46;21.54
low fat yogurt;11;13.37
cake;70;11.98
eggs;23;22.62
mashed potato;96;1.15
ketchup;114;2.97
energy bar;27;29.47
pasta;49;22.05
salt;87;12.05
tomato sauce;65;23.10
hand protein bar;108;29.99
babies food;110;29.95
melons;111;12.03
green tea;12;11.34
pepper;50;10.08
salmon;16;7.86
mineral water;15;16.28
bramble;115;2.99
almonds;2;5.75
honey;13;18.43
clothes accessories;74;29.33
frozen vegetables;34;0.45
spinach;19;25.33
butter;84;2.15
asparagus;85;8.17
shallot;33;14.15
candy bars;94;19.93
strawberries;67;28.70
nonfat milk;97;7.12
red wine;48;24.84
gluten free bar;105;16.30
shrimp;1;20.16
light cream;32;22.11
barbecue sauce;89;2.07
chocolate;40;22.91
oil;42;25.86
gums;78;22.58
french wine;86;14.79
vegetables mix;4;0.28
bacon;103;6.79
flax seed;107;6.21
milk;26;26.08
brownies;72;23.60
fromage blanc;104;28.87
mushroom cream sauce;93;18.25
ham;54;8.45
body spray;55;3.86
mayonnaise;90;21.42
toothpaste;59;8.39
water spray;98;6.13
grated cheese;57;26.41
cookies;37;2.09
pet food;36;4.15
frozen smoothie;18;3.35
avocado;3;12.42
fresh bread;61;26.90
chicken;41;28.61
sparkling water;53;7.39
napkins;120;20.35
turkey;25;21.51
tomatoes;44;28.42
sandwich;109;24.18
corn;81;18.30
chili;95;22.66

id;dateid;shopid;prodid
1;20211231;1;1
1;20211231;1;2
1;20211231;1;3
1;20211231;1;4
1;20211231;1;5
1;20211231;1;6
1;20211231;1;7
1;20211231;1;8
1;20211231;1;9
1;20211231;1;10
1;20211231;1;11
1;20211231;1;12
1;20211231;1;13
1;20211231;1;14
1;20211231;1;15
1;20211231;1;16
1;20211231;1;17
1;20211231;1;18
1;20211231;1;19
1;20211231;1;20
2;20211231;1;21
2;20211231;1;22
2;20211231;1;23
3;20211231;1;24
4;20211231;1;25
4;20211231;1;3
5;20211231;2;15
5;20211231;2;26
5;20211231;2;27
5;20211231;2;28
5;20211231;2;12
6;20211231;1;11
7;20211231;1;29
7;20211231;1;30
8;20211231;1;31
8;20211231;1;32
8;20211231;1;33
9;20211231;3;34
9;20211231;3;35
9;20211231;3;12
10;20211231;2;30
11;20211231;1;23
11;20211231;1;36
12;20211231;3;37
13;20211231;3;25
13;20211231;3;21
13;20211231;3;15
13;20211231;3;23
13;20211231;3;38
14;20211231;1;35
14;20211231;1;39
14;20211231;1;37
15;20211231;1;15
15;20211231;1;16
16;20211231;2;15
17;20211231;2;1
17;20211231;2;40
17;20211231;2;41
17;20211231;2;13
17;20211231;2;42
17;20211231;2;38
17;20211231;2;11
18;20211231;2;25
18;20211231;2;23
19;20211231;2;25
19;20211231;2;43
19;20211231;2;44
19;20211231;2;35
19;20211231;2;15
19;20211231;2;45
19;20211231;2;16
19;20211231;2;23
19;20211231;2;41
19;20211231;2;46
20;20211231;2;22
20;20211231;2;26
20;20211231;2;13
20;20211231;2;30
20;20211231;2;47
21;20211231;4;48
21;20211231;4;1
21;20211231;4;49
21;20211231;4;50
21;20211231;4;23
21;20211231;4;40
21;20211231;4;51
22;20211231;3;52
22;20211231;3;53
23;20211231;1;35
23;20211231;1;15
23;20211231;1;54
23;20211231;1;55
23;20211231;1;56
23;20211231;1;12
24;20211231;3;21
24;20211231;3;57
24;20211231;3;1
24;20211231;3;49
24;20211231;3;3
24;20211231;3;13
24;20211231;3;58
24;20211231;3;59
25;20211231;1;23
26;20211231;3;60
26;20211231;3;35
26;20211231;3;31
26;20211231;3;3
26;20211231;3;26
26;20211231;3;61
27;20211231;1;62
27;20211231;1;35
27;20211231;1;15
27;20211231;1;26
27;20211231;1;27
27;20211231;1;45
27;20211231;1;16
27;20211231;1;18
27;20211231;1;63
28;20211231;1;53
29;20211231;1;15
29;20211231;1;23
29;20211231;1;41
29;20211231;1;40
29;20211231;1;30
30;20211231;1;34
30;20211231;1;35
30;20211231;1;7
30;20211231;1;15
31;20211231;1;64
31;20211231;1;65
31;20211231;1;32
31;20211231;1;66
32;20211231;3;15
32;20211231;3;40
32;20211231;3;3
32;20211231;3;23
33;20211231;2;25
33;20211231;2;30
33;20211231;2;67
34;20211231;2;34
34;20211231;2;68
34;20211231;2;40
35;20211231;3;37
36;20211231;3;69
36;20211231;3;35
36;20211231;3;16
36;20211231;3;63
37;20211231;1;27
37;20211231;1;30
38;20211231;4;48
38;20211231;4;62
38;20211231;4;15
39;20211231;1;15
39;20211231;1;70
39;20211231;1;8
40;20211231;2;69
40;20211231;2;39
40;20211231;2;12
41;20211231;3;35
42;20211231;1;43
42;20211231;1;34
42;20211231;1;35
42;20211231;1;15
42;20211231;1;13
42;20211231;1;28
42;20211231;1;18
42;20211231;1;63
43;20211231;1;35
44;20211231;2;31
44;20211231;2;22
44;20211231;2;71
44;20211231;2;53
45;20211231;1;63
46;20211231;1;31
46;20211231;1;3
46;20211231;1;30
46;20211231;1;71
46;20211231;1;72
46;20211231;1;55
46;20211231;1;56
46;20211231;1;12
47;20211231;2;15
47;20211231;2;41
47;20211231;2;73
47;20211231;2;74
48;20211231;1;15
48;20211231;1;75
49;20211231;2;3
49;20211231;2;76
50;20211231;1;21
50;20211231;1;45
50;20211231;1;12
51;20211231;3;35
51;20211231;3;40
51;20211231;3;72
51;20211231;3;58
51;20211231;3;12
52;20211231;1;43
52;20211231;1;15
52;20211231;1;23
53;20211231;1;35
53;20211231;1;76
54;20211231;3;35
54;20211231;3;40
55;20211231;2;30
55;20211231;2;63
55;20211231;2;39
56;20211231;1;65
56;20211231;1;77
57;20211231;1;25
57;20211231;1;43
57;20211231;1;34
57;20211231;1;44
57;20211231;1;62
57;20211231;1;35
57;20211231;1;15
57;20211231;1;40
57;20211231;1;31
57;20211231;1;26
57;20211231;1;20
58;20211231;3;23
58;20211231;3;37
59;20211231;1;31
59;20211231;1;41
59;20211231;1;78
59;20211231;1;79
59;20211231;1;55
59;20211231;1;9
59;20211231;1;12
60;20211231;1;25
60;20211231;1;34
60;20211231;1;15
60;20211231;1;80
60;20211231;1;38
60;20211231;1;12
61;20211231;4;35
62;20211231;2;74
63;20211231;3;9
64;20211231;2;31
64;20211231;2;75
64;20211231;2;33
64;20211231;2;47
64;20211231;2;12
65;20211231;1;25
65;20211231;1;23
66;20211231;1;30
67;20211231;1;40
67;20211231;1;26
68;20211231;1;64
68;20211231;1;29
68;20211231;1;62
68;20211231;1;15
68;20211231;1;3
68;20211231;1;80
68;20211231;1;28
69;20211231;1;37
70;20211231;4;1
70;20211231;4;49
71;20211231;1;57
71;20211231;1;64
71;20211231;1;44
71;20211231;1;65
71;20211231;1;81
72;20211231;3;21
